Date,installment_interest_rate
2021-03-02,3.53251
2021-03-03,3.01446
2021-03-04,2.91227
2021-03-05,2.70595
2021-03-06,1.77461
2021-03-07,2.17311
2021-03-08,3.00097
2021-03-09,2.92641
2021-03-10,3.32105
2021-03-11,2.85313
2021-03-12,2.59154
2021-03-13,1.64285
2021-03-14,1.97643
2021-03-15,2.91227
2021-03-16,2.77793
2021-03-17,2.92962
2021-03-18,2.65003
2021-03-19,2.48099
2021-03-20,1.77204
2021-03-21,1.92758
2021-03-22,3.55758
2021-03-23,2.69566
2021-03-24,2.54912
2021-03-25,3.15265
2021-03-26,2.44949
2021-03-27,1.64928
2021-03-28,1.98093
2021-03-29,2.75222
2021-03-30,2.69566
2021-03-31,2.90455
2021-04-01,2.66802
2021-04-02,2.15704
2021-04-03,1.59271
2021-04-04,1.64992
2021-04-05,2.5414
2021-04-06,2.52084
2021-04-07,2.20011
2021-04-08,2.17504
2021-04-09,2.14226
2021-04-10,1.43588
2021-04-11,1.53165
2021-04-12,2.31066
2021-04-13,2.24446
2021-04-14,2.25088
2021-04-15,2.19625
2021-04-16,2.02142
2021-04-17,1.40118
2021-04-18,1.61135
2021-04-19,2.44435
2021-04-20,2.44371
2021-04-21,2.20718
2021-04-22,2.10048
2021-04-23,2.30166
2021-04-24,1.57086
2021-04-25,1.62228
2021-04-26,2.35886
2021-04-27,2.25603
2021-04-28,2.07156
2021-04-29,1.94558
2021-04-30,2.04006
2021-05-01,1.43846
2021-05-02,1.51944
