Date,dividend_stocks
2021-02-24,18.38042
2021-02-25,18.3076
2021-02-26,32.52257
2021-02-27,11.66618
2021-02-28,13.69064
2021-03-01,14.01106
2021-03-02,14.6519
2021-03-03,19.2106
2021-03-04,16.41421
2021-03-05,16.29769
2021-03-06,11.66618
2021-03-07,12.24876
2021-03-08,15.40926
2021-03-09,16.4579
2021-03-10,18.20565
2021-03-11,17.05505
2021-03-12,17.25895
2021-03-13,12.61287
2021-03-14,12.81677
2021-03-15,17.73958
2021-03-16,19.4145
2021-03-17,21.06029
2021-03-18,24.67229
2021-03-19,16.15205
2021-03-20,12.71482
2021-03-21,13.57413
2021-03-22,16.13748
2021-03-23,17.20069
2021-03-24,16.7055
2021-03-25,16.86571
2021-03-26,18.46781
2021-03-27,12.49635
2021-03-28,12.93329
2021-03-29,19.37081
2021-03-30,21.75939
2021-03-31,21.03116
2021-04-01,20.43402
2021-04-02,19.25429
2021-04-03,13.63239
2021-04-04,14.54995
2021-04-05,18.11826
2021-04-06,18.77366
2021-04-07,19.35624
2021-04-08,18.61345
2021-04-09,22.06524
2021-04-10,12.51092
2021-04-11,12.10311
2021-04-12,19.74949
2021-04-13,19.37081
2021-04-14,19.51645
2021-04-15,21.7157
2021-04-16,30.68744
2021-04-17,15.61316
2021-04-18,13.80716
2021-04-19,20.5214
2021-04-20,20.20099
2021-04-21,22.25458
2021-04-22,24.58491
2021-04-23,22.22545
2021-04-24,12.8896
2021-04-25,12.03029
2021-04-26,18.07457
2021-04-27,18.36586
2021-04-28,16.9531
2021-04-29,16.23944
2021-04-30,15.39469
2021-05-01,9.97669
2021-05-02,9.4815
2021-05-03,13.28284
2021-05-04,14.8995
2021-05-05,14.94319
2021-05-06,14.92863
2021-05-07,15.32187
2021-05-08,13.18089
2021-05-09,15.21992
2021-05-10,17.76871
2021-05-11,18.46781
2021-05-12,16.22487
2021-05-13,15.1471
2021-05-14,13.25371
2021-05-15,9.37955
2021-05-16,10.42819
2021-05-17,12.86047
2021-05-18,16.5016
2021-05-19,17.11331
2021-05-20,16.77832
2021-05-21,13.37023
2021-05-22,10.69035
2021-05-23,11.18555
2021-05-24,14.72473
2021-05-25,17.44829
2021-05-26,15.81706
2021-05-27,14.09845
2021-05-28,13.89455
2021-05-29,10.35537
2021-05-30,14.46256
2021-05-31,15.29274
2021-06-01,15.24905
2021-06-02,14.54995
2021-06-03,15.88989
2021-06-04,14.06932
2021-06-05,8.86979
2021-06-06,8.91348
2021-06-07,14.01106
2021-06-08,15.46752
2021-06-09,15.45295
2021-06-10,14.50626
2021-06-11,13.22458
2021-06-12,8.70958
2021-06-13,8.127
2021-06-14,12.87503
2021-06-15,14.50626
2021-06-16,14.28779
2021-06-17,14.37518
2021-06-18,15.43839
2021-06-19,8.49111
2021-06-20,8.11243
2021-06-21,13.26827
2021-06-22,14.73929
2021-06-23,15.71511
2021-06-24,14.78298
2021-06-25,15.74424
2021-06-26,9.10282
2021-06-27,9.933
2021-06-28,30.13399
2021-06-29,13.95281
